subject_id,gesture_id,gesture_name,rep_num,MAV_ch1,WAMP_ch1,VAR_ch1,WL_ch1,MDF_ch1,MNF_ch1,MAV_ch2,WAMP_ch2,VAR_ch2,WL_ch2,MDF_ch2,MNF_ch2,MAV_ch3,WAMP_ch3,VAR_ch3,WL_ch3,MDF_ch3,MNF_ch3,MAV_ch4,WAMP_ch4,VAR_ch4,WL_ch4,MDF_ch4,MNF_ch4
1,1,thumb_flexion,1,0.013437020336903324,3284,0.00048030144309737746,56.03752038779708,203.125,219.20598598392513,0.002138406190752961,364,1.9595737188301317e-05,10.64804661739153,242.1875,235.77518213057917,0.002020724159401212,351,1.2294358199925362e-05,10.154072092678886,242.1875,233.85767782277662,0.0013294452770230814,65,3.4560397809637684e-06,6.8281244825685725,257.8125,253.9276030264791
1,1,thumb_flexion,2,0.011101982070593335,3026,0.0002613111277987084,46.03433535769439,187.5,211.50144621497162,0.0017892564649024556,279,1.0127861407132625e-05,9.263159830991743,234.375,238.36539540139432,0.0017578114468714558,226,9.314015771553366e-06,9.001288639436163,234.375,227.32642370379077,0.0012028659659298632,40,2.742710408413176e-06,6.3619003316745,273.4375,260.72349145929655
1,1,thumb_flexion,3,0.01196310514083299,3246,0.0003027528939000962,51.76050627113315,218.75,228.16148208953422,0.002003344036804675,360,1.1216683072445417e-05,10.27479148401645,242.1875,244.9688681126484,0.0022116046235870898,423,1.7977359644069223e-05,10.96573962587556,218.75,229.9175159533376,0.001392671382063882,98,4.064987556419795e-06,7.163707101806375,257.8125,256.43241236218535
1,1,thumb_flexion,4,0.009772396356111306,2744,0.00021400218972027028,41.56687140720658,210.9375,219.01257069111637,0.0018318202100328774,274,9.032442192516067e-06,9.31568059578136,242.1875,240.95059590018857,0.0018430838588212452,269,8.67864302474377e-06,9.45218587683765,242.1875,242.08663782320394,0.0013446664294960305,76,3.585496703899542e-06,6.9611558119519135,257.8125,258.5145720137596
1,1,thumb_flexion,5,0.007022303981345834,1727,0.00017062428979018544,29.708994965696135,195.3125,210.35767413126018,0.0015581256013215982,167,6.0331172204432906e-06,8.29930333075933,257.8125,251.4944399369517,0.0015609229003107931,148,6.461368041852942e-06,8.296589134120111,234.375,237.6581351351176,0.0011558966857976897,39,2.5963592525886763e-06,6.098278234682345,265.625,260.28841687112794
1,1,thumb_flexion,6,0.005298135438372634,1136,0.0001313542807427023,23.217466062156987,210.9375,214.38809913633094,0.0017214392619867753,245,8.778260891912845e-06,8.979193069298237,242.1875,244.861497902908,0.001630304116356012,195,6.546655215794523e-06,8.755954099943356,242.1875,245.6845189704868,0.0011632263481105396,33,2.5997234379867947e-06,6.240622198963402,257.8125,267.3382644167209
1,1,thumb_flexion,7,0.004714460179994582,832,0.00015479569066980536,21.985583913754922,242.1875,240.44301824477893,0.0017769256572741433,285,1.0821105435859098e-05,9.297528089706056,242.1875,248.63954794605715,0.0017218960425583287,226,8.888888955745095e-06,9.303555623557084,265.625,251.0058597244416,0.0011712874304212306,49,2.7596082704375717e-06,6.136209542923794,265.625,262.10725998757306
1,1,thumb_flexion,8,0.005517651360817314,965,0.00021411473814636023,26.40136605969002,265.625,249.98824615047937,0.0018361758346352364,284,1.031230216987824e-05,9.328478159398747,234.375,233.47829188809823,0.0017609801020560152,246,8.313026004070052e-06,9.343042413076576,234.375,245.29836725321,0.0012092426211083994,52,3.0549551480279147e-06,6.445294813408473,273.4375,266.2197640355698
1,1,thumb_flexion,9,0.006794225379044223,1515,0.00019530060158603105,31.037611467902074,234.375,235.7367380201363,0.0017096249312581987,202,9.28306961488221e-06,8.935074523645437,242.1875,248.17855308794475,0.0015473586718533698,143,5.8876354688846875e-06,8.30344470362158,242.1875,245.47491167563993,0.0011302283396393265,15,2.2646308557698196e-06,6.162475586339369,289.0625,276.92583127583515
1,1,thumb_flexion,10,0.005723790657762877,1066,0.00019072492904129423,27.161828473637236,265.625,249.79326823820114,0.0017699426723825832,264,9.636600613329298e-06,9.020888754050716,234.375,234.50205513840342,0.0015921250061722721,176,5.999536887158419e-06,8.647715580329141,257.8125,259.7366818983844,0.00114342914492393,34,2.5060042964944764e-06,6.134546850476261,273.4375,266.64545872134767
1,1,thumb_flexion,11,0.0050344461524354945,990,0.0001555349577815482,23.69418491550542,242.1875,242.66099992099677,0.0015411616730103012,160,8.267449088655705e-06,8.124545875536647,242.1875,238.94353791593807,0.0014093450860664367,83,4.0928686488793955e-06,7.929493029850292,265.625,269.41893066509505,0.001143431392064976,26,2.3890010495011934e-06,6.204616108207963,289.0625,276.14816129811027
1,1,thumb_flexion,12,0.006163188903142751,1225,0.00020413691089497173,27.819724917329072,242.1875,231.43921549447182,0.0017002121127120153,238,1.1999534751960169e-05,8.792699530269179,234.375,229.08087477146262,0.0015230708916625776,142,5.545764444130069e-06,8.21784667711067,242.1875,246.07283739908073,0.0012293957395589632,50,2.925948862575501e-06,6.510593854918135,265.625,262.83151565917024
1,1,thumb_flexion,13,0.005902566324762122,1301,0.0001581050187355595,26.074509595377155,234.375,228.58301405466267,0.0020429381579919166,374,1.5086833262588951e-05,10.252286057960136,242.1875,238.3754348191303,0.001648122950820771,170,6.318827848397476e-06,8.680811250609317,242.1875,246.3210089295022,0.0012131403304318183,50,2.8630249999385266e-06,6.405648385136454,265.625,260.8891501029683
1,2,index_flexion,1,0.004887987295594851,1229,9.270022799319461e-05,22.5801078087999,242.1875,233.15764575274744,0.0012273969657680666,54,2.819171428064981e-06,6.720383279451239,296.875,287.0391917624041,0.001387737638105125,122,3.886343071653947e-06,7.722456897504184,289.0625,283.30984965776486,0.0013899674383772327,92,3.866835154657128e-06,7.383978895432824,273.4375,266.10976531832557
1,2,index_flexion,2,0.004526619589195846,1166,7.542187506187892e-05,20.918776721365752,234.375,232.08388942334886,0.001286695465721265,67,3.139497533715601e-06,7.044145593779183,289.0625,285.2805737298321,0.0014439331124696355,100,3.971504458780018e-06,8.037228113085238,296.875,284.2821121423702,0.0014676844084522802,105,4.264969878796231e-06,7.564798091696723,257.8125,258.67918624367434
1,2,index_flexion,3,0.00517971298080239,1286,9.894622314103631e-05,23.147573338816844,218.75,219.32350524386146,0.0014569893965328774,186,5.293334811191603e-06,7.759673898558422,281.25,277.0296625937671,0.0014858473734079938,160,5.134965689732363e-06,8.163967169686469,281.25,273.3347963636403,0.0015834174062375303,213,5.949728898043199e-06,7.948510156514754,257.8125,254.64107623038228
1,2,index_flexion,4,0.006545976048041826,1539,0.00015047757935228215,27.773057305572266,210.9375,210.9794214507926,0.0014565751567645394,187,6.024481867930702e-06,7.908309715728847,289.0625,283.04934686649784,0.0015970879445733114,227,6.405673298633428e-06,8.798571564727705,265.625,269.2198869655668,0.0014726595892555316,209,5.691270962717463e-06,7.910418430560606,273.4375,267.865555716982
1,2,index_flexion,5,0.007551670152604062,2184,0.00013378219159393824,33.050257466871585,218.75,222.29976254902584,0.0012689688049823365,56,3.004404701261688e-06,7.036802717104991,289.0625,289.31662021538915,0.0014482255992946478,143,4.46219065968252e-06,8.028160034905497,289.0625,281.5015618866439,0.0013603472782865204,83,3.8061330297063384e-06,7.119548831575067,273.4375,264.21170151458415
1,2,index_flexion,6,0.010800703519722668,3204,0.00022822014606594377,47.122051175674656,218.75,223.84753748484766,0.0012013784770649185,16,2.386637315233967e-06,6.713977073752367,296.875,292.0048303687159,0.0012889408234542203,74,3.2284222377689953e-06,7.205013536295052,289.0625,283.5881251833048,0.0012965009172238202,72,3.4278349473161524e-06,6.764328200898636,265.625,261.4668167873396
